id,domain,status,purchase_price,renewal_price,attractiveness,demand,length,registrar,created_at,expires_at
00122b8c-1da8-4422-b6ce-a80155e8dd18,ifyouwill.work,available,2.99,,61,2,11,name.com,,
001a2639-3b7b-493c-b4e9-b4f85a180f70,vetoed.work,available,2.99,,50,2,6,name.com,,
00251cf3-d337-49b8-a285-f7d1827f2c66,preferences.work,available,2.99,,80,7,11,name.com,,
0029fdca-6da4-4907-953b-4d20eb6d7c42,letitbeknown.work,available,2.99,,75,1,15,name.com,,
003162b1-07f5-4096-a8eb-73da8be0fbc6,CountyofHawaii.work,available,17.98,,50,1,16,namecheap,,
0037a451-263d-4fd0-8ced-5ce9e3c7ab54,inyourdreams.work,available,2.99,,40,3,14,name.com,,
0043a0dd-59ae-4351-93a4-a5a1ad526dc5,provinces.work,available,2.99,,54,2,9,name.com,,
0044d2ec-7570-4369-927e-487304abcb1c,feelupto.work,available,2.99,,50,1,10,name.com,,
00500303-b2e4-44eb-9d7e-6cb5f8e2f5b8,letpast.work,available,2.99,,75,1,8,name.com,,
005e63cc-d79d-400b-bc62-f082319eeb59,tenths.work,available,2.99,,50,4,6,name.com,,
0082632e-3e23-4b03-b01b-c98192deffc4,joggingsuit.work,available,2.99,,61,1,12,name.com,,
008a0935-c02c-4f89-8d58-a2c22a9ba601,urged.work,available,2.99,,60,3,5,name.com,,
009cf0d8-8f55-4f05-9059-786e3362c6e5,deciders.work,available,2.99,,56,3,8,name.com,,
00a2cbcf-6b46-44cb-a262-d58b41a99d3b,jollyalong.work,available,2.99,,82,1,11,name.com,,
00e0176e-cd04-4eae-9631-a72aec6def6f,keepwatch.work,available,2.99,,70,5,10,name.com,,
00f24ffb-d577-43fe-b319-221f70a6dcea,Ipop.work,available,17.98,,76,9,5,namecheap,,
0104c951-3422-48c3-83f6-6d264e417c17,flipflops.work,available,2.99,,52,5,10,name.com,,
013362aa-503b-4cdf-9c50-44cead700141,coffeeroyal.work,available,2.99,,80,1,12,name.com,,
016eadbe-644f-4426-bc90-694880b003e8,commonhousefly.work,available,2.99,,42,1,15,name.com,,
01ab870b-b24f-4bf0-bad4-c20169c1ece5,olives.work,premium,53.92,11.8,56,11,6,namesilo,,
01b7158e-7039-4e11-83ab-6bde217e5ed7,lordmayor.work,available,2.99,,76,1,10,name.com,,
01b975d3-b1a7-4c04-af07-1609a9f82a09,noodlebar.work,available,2.99,,62,2,10,name.com,,
01f076e1-eaa2-41b7-8a4e-0680bbbd4509,softsell.work,available,2.99,,72,3,9,name.com,,
01f6aee7-f6bd-4adc-a075-18f6a9cd9ff2,rumorhasit.work,available,2.99,,47,2,12,name.com,,
01fa3d51-8d30-4416-8684-79c9856cb751,breastfeedings.work,available,2.99,,48,1,14,name.com,,
01fe10c6-9666-4a76-967a-2f674ac7bc3c,explains.work,available,2.99,,50,4,8,name.com,,
0213e3fb-0b05-49f1-b600-0e25baca1752,publicoffice.work,available,2.99,,69,2,13,name.com,,
022ec679-f6a0-49cb-b394-064bfc3f83dd,believeitornot.work,available,2.99,,54,3,17,name.com,,
024dc040-a56a-4729-8539-0afae2357815,checksandbalances.work,available,2.99,,66,3,19,name.com,,
026ccef7-26d2-461f-b544-33f7b17ef85c,communityspirit.work,available,2.99,,72,2,16,name.com,,
0275f37e-7aba-4b67-acc2-c5b32fd4e1ad,gototherestroom.work,available,2.99,,56,1,18,name.com,,
